Timestamp (Elapsed time in seconds),PID,FPS,99(%) FPS,Render Latency(MSec),Average PC Latency(MSec),CPU Utilization(%),GPU1 Utilization(%),GPU1 Temperature(Degrees celsius),GPU1 Frequency(MHz),GPU1 Memory Frequency(MHz),GPU1 Voltage(Milli Volts),GPU1 Fan1 Speed (RPM),GPU1 Fan2 Speed (RPM),GPU2 Utilization(%),GPU2 Temperature(Degrees celsius),GPU2 Frequency(MHz),GPU2 Memory Frequency(MHz),GPU2 Voltage(Milli Volts),GPU2 Fan1 Speed (RPM),GPU2 Fan2 Speed (RPM),
14.069,38060,212.000,109.000,3.703,N/A,0.000,95.000,57.000,2745.000,10501.000,1.050,1170.000,1150.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14.573,38060,212.000,109.000,3.703,N/A,0.000,95.000,57.000,2745.000,10501.000,1.050,1170.000,1150.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15.077,38060,229.000,168.000,5.304,N/A,0.000,95.000,57.000,2745.000,10501.000,1.050,1170.000,1149.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15.581,38060,229.000,168.000,5.304,N/A,0.000,95.000,57.000,2745.000,10501.000,1.050,1170.000,1149.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16.086,38060,229.000,135.000,4.048,N/A,2.000,92.000,57.000,2745.000,10501.000,1.050,1169.000,1149.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16.590,38060,229.000,135.000,4.048,N/A,2.000,92.000,57.000,2745.000,10501.000,1.050,1169.000,1149.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17.095,38060,227.000,113.000,3.817,N/A,1.000,96.000,58.000,2745.000,10501.000,1.050,1169.000,1149.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17.598,38060,227.000,113.000,3.817,N/A,1.000,96.000,58.000,2745.000,10501.000,1.050,1169.000,1149.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18.103,38060,234.000,186.000,3.812,N/A,0.000,94.000,58.000,2745.000,10501.000,1.050,1169.000,1151.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18.607,38060,234.000,186.000,3.812,N/A,0.000,94.000,58.000,2745.000,10501.000,1.050,1169.000,1151.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19.111,38060,231.000,170.000,4.029,N/A,3.000,96.000,58.000,2745.000,10501.000,1.050,1169.000,1150.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19.616,38060,231.000,170.000,4.029,N/A,3.000,96.000,58.000,2745.000,10501.000,1.050,1169.000,1150.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20.120,38060,228.000,154.000,4.592,N/A,0.000,97.000,58.000,2730.000,10501.000,1.050,1168.000,1148.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20.623,38060,228.000,154.000,4.592,N/A,0.000,97.000,58.000,2730.000,10501.000,1.050,1168.000,1148.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21.027,38060,232.000,180.000,5.643,N/A,2.000,97.000,59.000,2730.000,10501.000,1.050,1169.000,1150.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21.530,38060,232.000,180.000,5.643,N/A,2.000,97.000,59.000,2730.000,10501.000,1.050,1169.000,1150.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22.034,38060,232.000,193.000,4.707,N/A,3.000,96.000,59.000,2730.000,10501.000,1.050,1168.000,1151.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22.538,38060,232.000,193.000,4.707,N/A,3.000,96.000,59.000,2730.000,10501.000,1.050,1168.000,1151.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23.043,38060,230.000,145.000,4.645,N/A,3.000,92.000,59.000,2730.000,10501.000,1.050,1167.000,1150.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23.547,38060,230.000,145.000,4.645,N/A,3.000,92.000,59.000,2730.000,10501.000,1.050,1167.000,1150.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24.052,38060,235.000,196.000,3.969,N/A,2.000,96.000,59.000,2730.000,10501.000,1.050,1169.000,1149.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24.556,38060,235.000,196.000,3.969,N/A,2.000,96.000,59.000,2730.000,10501.000,1.050,1169.000,1149.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25.060,38060,230.000,151.000,6.232,N/A,3.000,96.000,59.000,2730.000,10501.000,1.050,1170.000,1150.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25.565,38060,230.000,151.000,6.232,N/A,3.000,96.000,59.000,2730.000,10501.000,1.050,1170.000,1150.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26.071,38060,230.000,149.000,5.383,N/A,3.000,97.000,59.000,2730.000,10501.000,1.050,1169.000,1150.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
