Timestamp (Elapsed time in seconds),PID,FPS,99(%) FPS,Render Latency(MSec),Average PC Latency(MSec),CPU Utilization(%),GPU1 Utilization(%),GPU1 Temperature(Degrees celsius),GPU1 Frequency(MHz),GPU1 Memory Frequency(MHz),GPU1 Voltage(Milli Volts),GPU1 Fan1 Speed (RPM),GPU1 Fan2 Speed (RPM),GPU2 Utilization(%),GPU2 Temperature(Degrees celsius),GPU2 Frequency(MHz),GPU2 Memory Frequency(MHz),GPU2 Voltage(Milli Volts),GPU2 Fan1 Speed (RPM),GPU2 Fan2 Speed (RPM),
0.297,43680,629.000,271.000,1.666,N/A,2.000,96.000,45.000,2745.000,10501.000,1.050,1158.000,1151.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.800,43680,629.000,271.000,1.666,N/A,2.000,96.000,45.000,2745.000,10501.000,1.050,1158.000,1151.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.305,43680,636.000,269.000,1.375,N/A,1.000,95.000,45.000,2745.000,10501.000,1.050,1161.000,1150.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.809,43680,636.000,269.000,1.375,N/A,1.000,95.000,45.000,2745.000,10501.000,1.050,1161.000,1150.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2.315,43680,624.000,275.000,1.611,N/A,0.000,94.000,45.000,2745.000,10501.000,1.050,1160.000,1151.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2.818,43680,624.000,275.000,1.611,N/A,0.000,94.000,45.000,2745.000,10501.000,1.050,1160.000,1151.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3.322,43680,649.000,327.000,1.285,N/A,0.000,94.000,45.000,2745.000,10501.000,1.050,1160.000,1151.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3.827,43680,649.000,327.000,1.285,N/A,0.000,94.000,45.000,2745.000,10501.000,1.050,1160.000,1151.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4.332,43680,641.000,250.000,1.993,N/A,0.000,96.000,45.000,2745.000,10501.000,1.050,1161.000,1152.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4.835,43680,641.000,250.000,1.993,N/A,0.000,96.000,45.000,2745.000,10501.000,1.050,1161.000,1152.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5.340,43680,641.000,245.000,1.940,N/A,0.000,95.000,45.000,2745.000,10501.000,1.050,1160.000,1150.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
